@relation 'CR17filtered-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.instance.Resample-S1-Z7.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z66.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z66.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R1-3,5,7,9-10,12-19'

@attribute Description {'DOMESTIC BATTERY SIMPLE','FINANCIAL IDENTITY THEFT OVER $ 300','HARASSMENT BY ELECTRONIC MEANS','SELL/GIVE/DEL LIQUOR TO MINOR','FROM BUILDING','OVER $500','TO LAND',SIMPLE,'TO VEHICLE','TELEPHONE THREAT','FORCIBLE ENTRY','FINANCIAL IDENTITY THEFT $300 AND UNDER','OTHER OFFENSE','TO PROPERTY','$500 AND UNDER',POCKET-PICKING,'COUNTERFEIT CHECK','AGGRAVATED: OTHER DANG WEAPON','AGGRAVATED: OTHER','AGG PRO.EMP:KNIFE/CUTTING INST','CHILD ABDUCTION','COMPUTER FRAUD','OTHER VEHICLE OFFENSE',AUTOMOBILE,'OTHER CRIME INVOLVING PROPERTY','TO CITY OF CHICAGO PROPERTY','STRONGARM - NO WEAPON','UNLAWFUL ENTRY','HARASSMENT BY TELEPHONE','AGGRAVATED: HANDGUN','ARMED: HANDGUN','ILLEGAL USE CASH CARD','ENDANGERING LIFE/HEALTH CHILD','TRUCK, BUS, MOTOR HOME','RETAIL THEFT','AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST','POSS: AMPHETAMINES','POSS: CANNABIS 30GMS OR LESS','PAROLE VIOLATION','SEX OFFENDER: FAIL TO REGISTER','AGGRAVATED:KNIFE/CUTTING INSTR','FALSE/STOLEN/ALTERED TRP','VIOLATE ORDER OF PROTECTION','THEFT OF LABOR/SERVICES','SOLICIT ON PUBLIC WAY','AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON','FALSE POLICE REPORT','UNLAWFUL USE HANDGUN',PREDATORY,'FRAUD OR CONFIDENCE GAME','MANU/DELIVER: HEROIN (WHITE)','POSS: HEROIN(WHITE)',MANU/DELIVER:CRACK,'FOUND SUSPECT NARCOTICS','VEHICULAR HIJACKING',NON-AGGRAVATED,'MANU/DEL:CANNABIS 10GM OR LESS','CRIMINAL DEFACEMENT','FIRST DEGREE MURDER','CREDIT CARD FRAUD','ATTEMPT THEFT','UNLAWFUL POSS OF HANDGUN','SOLICIT NARCOTICS ON PUBLICWAY','ARMED:KNIFE/CUTTING INSTRUMENT','POSS: COCAINE','POSS: CRACK','OBSTRUCTING IDENTIFICATION','VEHICLE TITLE/REG OFFENSE',AGGRAVATED,'MANU/DEL:CANNABIS OVER 10 GMS','AGGRAVATED PO: OTHER DANG WEAP','OTHER VIOLATION',OTHER,'MANU/DELIVER: HEROIN(BRN/TAN)','GUN OFFENDER: DUTY TO REGISTER','UNLAWFUL USE OTHER FIREARM','ATTEMPT: ARMED-HANDGUN','RECKLESS CONDUCT','POSS: SYNTHETIC DRUGS','PROHIBITED PLACES','ATTEMPT FORCIBLE ENTRY','POSS: CANNABIS MORE THAN 30GMS','AGGRAVATED VEHICULAR HIJACKING','TO STATE SUP LAND','SEX OFFENDER: FAIL REG NEW ADD','POSS: HALLUCINOGENS',PURSE-SNATCHING,'AGG CRIMINAL SEXUAL ABUSE','BY FIRE','TO RESIDENCE','RESIST/OBSTRUCT/DISARM OFFICER','CALL OPERATION','CHILD ABUSE','THEFT OF LOST/MISLAID PROP','BOGUS CHECK','OTHER CRIME AGAINST PERSON','ATT: AUTOMOBILE','AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY','UNAUTHORIZED VIDEOTAPING','ARMED: OTHER DANGEROUS WEAPON','CYCLE, SCOOTER, BIKE NO VIN','LICENSE VIOLATION','ABUSE/NEGLECT: CARE FACILITY','POSS: PCP','GUN OFFENDER: ANNUAL REGISTRATION','AGGRAVATED FINANCIAL IDENTITY THEFT','POSS: BARBITUATES','THEFT/RECOVERY: TRUCK,BUS,MHOME','HOME INVASION','AGG SEX ASSLT OF CHILD FAM MBR','AGG PO HANDS NO/MIN INJURY','ATTEMPT: STRONGARM-NO WEAPON','AGG PRO.EMP: HANDGUN','THEFT/RECOVERY: AUTOMOBILE','CHILD ABDUCTION/STRANGER','CYCLE, SCOOTER, BIKE W-VIN','GUN OFFENDER: DUTY TO REPORT CHANGE OF INFORMATION','PROBATION VIOLATION','POSSESSION OF BURGLARY TOOLS','ATT CRIM SEXUAL ABUSE','PRO EMP HANDS NO/MIN INJURY','UNLAWFUL RESTRAINT','ARSONIST: FAIL TO REGISTER NEW ADDRESS','AGG CRIM SEX ABUSE FAM MEMBER','OBSTRUCTING JUSTICE',GAME/DICE,'OTHER WEAPONS VIOLATION','POSS: HEROIN(BRN/TAN)',INTIMIDATION,'RECKLESS FIREARM DISCHARGE',FORGERY,'COUNTERFEITING DOCUMENT','AGGRAVATED OF A CHILD','OTHER PROSTITUTION OFFENSE','AGGRAVATED DOMESTIC BATTERY: OTHER FIREARM','POSS FIREARM/AMMO:NO FOID CARD','LIQUOR LICENSE VIOLATION','OBSTRUCTING SERVICE','POSSESSION OF DRUG EQUIPMENT','ATTEMPT: ARMED-OTHER DANG WEAP','ATTEMPT - FINANCIAL IDENTITY THEFT','CRIMINAL SEXUAL ABUSE','FINAN EXPLOIT-ELDERLY/DISABLED','ATTEMPT NON-AGGRAVATED','POSS: METHAMPHETAMINES','AGG: HANDS/FIST/FEET NO/MINOR INJURY','ATTEMPT: ARMED-OTHER FIREARM','ARMED: OTHER FIREARM','TO STATE SUP PROP','PUBLIC INDECENCY','SEX ASSLT OF CHILD BY FAM MBR','SEXUAL EXPLOITATION OF A CHILD','AGGRAVATED: OTHER FIREARM','AGG: HANDS/FIST/FEET SERIOUS INJURY','AGGRAVATED OF A SENIOR CITIZEN','UNLAWFUL USE OF A COMPUTER','VIOLENT OFFENDER: DUTY TO REGISTER','CHILD PORNOGRAPHY','LOST PASSPORT','VIOLENT OFFENDER: ANNUAL REGISTRATION','VIOLATION OF CIVIL NO CONTACT ORDER','ATTEMPT: ARMED-KNIFE/CUT INSTR','TAMPER WITH MOTOR VEHICLE','TO AIRPORT','VIO BAIL BOND: DOM VIOLENCE','FORFEIT PROPERTY','UNLAWFUL POSS OTHER FIREARM','THEFT BY LESSEE,MOTOR VEH','AGG PO HANDS ETC SERIOUS INJ','CHILD ABANDONMENT','ANIMAL ABUSE/NEGLECT','ARMED WHILE UNDER THE INFLUENCE','BOMB THREAT','INDECENT SOLICITATION/CHILD','UNLAWFUL INTERFERE/VISITATION','ATT AGG CRIMINAL SEXUAL ABUSE','ARSON THREAT','UNLAWFUL USE OTHER DANG WEAPON','OBSCENE MATTER','AGG PRO.EMP: OTHER DANG WEAPON',MANU/DELIVER:BARBITUATES,'POSSESSION: SYNTHETIC MARIJUANA','ATTEMPT: CYCLE, SCOOTER, BIKE W-VIN','ARSONIST: DUTY TO REGISTER','PEEPING TOM','ATTEMPT ARSON','SOLICIT FOR BUSINESS',EMBEZZLEMENT,'CRIM SEX ABUSE BY FAM MEMBER','UNLAWFUL POSS AMMUNITION','AGGRAVATED PO: HANDGUN','BOARD PLANE WITH WEAPON','MOB ACTION','SECOND DEGREE MURDER','MANU/DELIVER: METHAMPHETAMINES','ATTEMPT: AGGRAVATED','SEX RELATION IN FAMILY','OBSCENE TELEPHONE CALLS','DELIVERY CONTAINER THEFT','BY EXPLOSIVE','CAB OPERATION',MANU/DELIVER:PCP,'AGGRAVATED: KNIFE/CUT INSTR','AGGRAVATED PO: KNIFE/CUT INSTR','FORCIBLE DETENTION','AGGRAVATED PO:KNIFE/CUT INSTR','OF UNBORN CHILD','INTERFERENCE JUDICIAL PROCESS','PAY TV SERVICE OFFENSES','UNLAWFUL USE OF RECORDED SOUND','AGGRAVATED OF A UNBORN CHILD','ALTER/FORGE PRESCRIPTION','POS: HYPODERMIC NEEDLE','FALSE FIRE ALARM','UNLAWFUL USE/SALE AIR RIFLE',EXTORTION,EAVESDROPPING,'CONTRIBUTE DELINQUENCY OF A CHILD','THEFT BY LESSEE,NON-VEH','DECEPTIVE COLLECTION PRACTICES','VIOLATION OF STALKING NO CONTACT ORDER','POS: PORNOGRAPHIC PRINT','MONEY LAUNDERING',MANU/DELIVER:COCAINE,'FROM COIN-OP MACHINE/DEVICE','AGGRAVATED DOMESTIC BATTERY: HANDGUN',GAME/CARDS,'DELIVER CANNABIS TO PERSON <18','COMMERCIAL SEX ACTS','TO FIRE FIGHT.APP.EQUIP','CONTRIBUTE CRIM DELINQUENCY JUVENILE','VIOLENT OFFENDER: FAIL TO REGISTER NEW ADDRESS','FOUND PASSPORT','AGG PRO EMP HANDS SERIOUS INJ','SOLICIT FOR PROSTITUTE','INTOXICATING COMPOUNDS','DEL CONT SUBS TO PERSON <18','MANU/DELIVER: HALLUCINOGEN',KIDNAPPING,'CANNABIS PLANT','VIOLATION GPS MONITORING DEVICE','POSS: HEROIN(BLACK TAR)','INSTITUTIONAL VANDALISM','CRIMINAL DRUG CONSPIRACY',OBSCENITY,'ILLEGAL POSSESSION BY MINOR','INVOLUNTARY SERVITUDE','VIOLATION OF SMOKING BAN','NOTIFICATION OF CIVIL NO CONTACT ORDER','ILLEGAL CONSUMPTION BY MINOR','SALE/DIST OBSCENE MAT TO MINOR','ATTEMPT POSSESSION NARCOTICS','ATTEMPT AGG: HANDGUN','INDECENT SOLICITATION/ADULT','UNLAWFUL SALE HANDGUN',CYBERSTALKING,'STOLEN PROP: BUY/RECEIVE/POS.','PUBLIC DEMONSTRATION','SEX OFFENDER: PROHIBITED ZONE','MANU/POSS. W/INTENT TO DELIVER: SYNTHETIC MARIJUANA',IMPERSONATION,'ILLEGAL POSSESSION CASH CARD','LICENSED PREMISE','MANU/DELIVER:SYNTHETIC DRUGS','ARSONIST: ANNUAL REGISTRATION','HARBOR RUNAWAY','INTERFERE W/ HIGHER EDUCATION','ATTEMPT AGG: OTHER','SALE/DEL DRUG PARAPHERNALIA',BRIBERY,'POS: EXPLOSIVE/INCENDIARY DEV','RECKLESS HOMICIDE','SOLICIT OFF PUBLIC WAY','LIBRARY VANDALISM',MANU/DELIVER:AMPHETAMINES,'POSS: LOOK-ALIKE DRUGS','KEEP PLACE OF PROSTITUTION',ESCAPE}
@attribute Arrest {false,true}
@attribute Beat numeric
@attribute Community.Area numeric

@data
'FORCIBLE ENTRY',false,1612,10
'STRONGARM - NO WEAPON',false,1235,31
'POSS: HEROIN(WHITE)',true,1131,26
'AGGRAVATED: HANDGUN',false,1512,25
'TO LAND',true,212,35
'OVER $500',true,212,35
'FORCIBLE ENTRY',false,1922,6
'STRONGARM - NO WEAPON',false,321,42
'DOMESTIC BATTERY SIMPLE',false,934,61
'FIRST DEGREE MURDER',false,911,58
'AGGRAVATED: OTHER',false,1921,5
'OVER $500',false,1724,14
'FORCIBLE ENTRY',false,1132,26
'ILLEGAL USE CASH CARD',false,223,38
'AGGRAVATED: OTHER DANG WEAPON',true,624,44
SIMPLE,false,2525,20
'TO PROPERTY',false,311,40
SIMPLE,true,334,43
'OVER $500',false,1413,22
SIMPLE,false,732,68
'PRO EMP HANDS NO/MIN INJURY',true,321,42
'FORCIBLE ENTRY',false,2532,25
'DOMESTIC BATTERY SIMPLE',false,412,45
'OVER $500',false,913,60
'DOMESTIC BATTERY SIMPLE',true,533,54
'FALSE/STOLEN/ALTERED TRP',true,532,53
'AGGRAVATED: HANDGUN',false,431,51
'FALSE/STOLEN/ALTERED TRP',true,511,49
'UNLAWFUL ENTRY',false,2233,73
SIMPLE,false,1614,76
'ATTEMPT - FINANCIAL IDENTITY THEFT',false,222,39
'TELEPHONE THREAT',false,1421,22
'$500 AND UNDER',false,2424,1
'TO VEHICLE',false,412,47
'UNLAWFUL POSS OF HANDGUN',true,2524,22
'DOMESTIC BATTERY SIMPLE',true,2531,25
'AGGRAVATED: HANDGUN',false,431,51
'POSS: CANNABIS MORE THAN 30GMS',true,1112,23
'TO VEHICLE',false,122,32
'THEFT BY LESSEE,MOTOR VEH',false,1654,76
'TO VEHICLE',false,814,56
'UNLAWFUL POSS OF HANDGUN',true,332,43
'STRONGARM - NO WEAPON',false,2012,77
'DOMESTIC BATTERY SIMPLE',false,632,44
'PAROLE VIOLATION',true,825,66
'$500 AND UNDER',false,1231,28
'$500 AND UNDER',false,933,61
SIMPLE,false,133,35
'ARMED: HANDGUN',false,922,58
'DOMESTIC BATTERY SIMPLE',false,131,33
'FORCIBLE ENTRY',false,1935,7
'TO CITY OF CHICAGO PROPERTY',false,513,49
'TO VEHICLE',false,934,61
'FINANCIAL IDENTITY THEFT $300 AND UNDER',false,1622,11
'AGGRAVATED: HANDGUN',false,1112,23
'POSS: CRACK',true,2223,73
'DOMESTIC BATTERY SIMPLE',false,331,43
'TO PROPERTY',false,632,44
'FIRST DEGREE MURDER',true,2234,75
'TO PROPERTY',true,421,43
'$500 AND UNDER',false,814,56
'$500 AND UNDER',false,1934,6
'ARMED: HANDGUN',false,822,62
'FROM BUILDING',false,122,32
'STRONGARM - NO WEAPON',false,1823,8
'TO VEHICLE',false,2424,1
'RETAIL THEFT',false,1935,7
'RETAIL THEFT',true,833,65
'SOLICIT ON PUBLIC WAY',true,1131,25
'AGGRAVATED: HANDGUN',false,1511,25
'ARMED: HANDGUN',false,2234,75
'DOMESTIC BATTERY SIMPLE',false,332,43
PURSE-SNATCHING,false,2232,73
'STRONGARM - NO WEAPON',false,312,42
'FORCIBLE ENTRY',false,1012,29
'$500 AND UNDER',false,933,61
'PRO EMP HANDS NO/MIN INJURY',false,513,49
'DOMESTIC BATTERY SIMPLE',false,421,43
'TO PROPERTY',false,1124,27
AGGRAVATED,false,1834,8
'VIOLATE ORDER OF PROTECTION',true,2413,2
'$500 AND UNDER',false,1512,25
SIMPLE,false,1214,28
'DOMESTIC BATTERY SIMPLE',true,931,61
SIMPLE,false,1212,24
'$500 AND UNDER',false,112,32
'COUNTERFEIT CHECK',false,612,71
AGGRAVATED,false,612,71
'OVER $500',false,1211,24
SIMPLE,true,512,49
'TELEPHONE THREAT',false,1722,16
'HARASSMENT BY TELEPHONE',false,735,67
'RETAIL THEFT',true,1432,22
'TO VEHICLE',false,913,60
'FINANCIAL IDENTITY THEFT OVER $ 300',false,933,61
AUTOMOBILE,false,1511,25
'DOMESTIC BATTERY SIMPLE',false,815,57
SIMPLE,false,1524,25
'AGGRAVATED: HANDGUN',false,312,42
'TO VEHICLE',false,432,52
'DOMESTIC BATTERY SIMPLE',false,221,38
SIMPLE,false,1731,15
'TO VEHICLE',false,835,66
'FROM BUILDING',false,215,38
'TO PROPERTY',false,725,67
'TO VEHICLE',false,1233,28
'RETAIL THEFT',true,112,32
'DOMESTIC BATTERY SIMPLE',false,411,45
'OVER $500',false,1215,24
'TO VEHICLE',false,1832,8
'FALSE/STOLEN/ALTERED TRP',false,2521,19
'FORCIBLE ENTRY',false,612,71
'TO PROPERTY',false,725,67
'OVER $500',false,2211,74
'PAROLE VIOLATION',true,714,67
'POSS: CANNABIS MORE THAN 30GMS',true,922,58
'VIOLATE ORDER OF PROTECTION',false,724,68
'POSS: HEROIN(WHITE)',true,1133,27
'RETAIL THEFT',false,2023,77
'TO LAND',true,1531,25
'FORCIBLE ENTRY',false,2222,71
'$500 AND UNDER',false,912,59
'$500 AND UNDER',false,1121,23
'CHILD ABUSE',false,1113,26
SIMPLE,false,621,44
'$500 AND UNDER',false,1034,31
'TELEPHONE THREAT',false,611,71
'TO PROPERTY',false,1522,25
'TO PROPERTY',false,1912,3
'RETAIL THEFT',false,2234,75
'ATTEMPT FORCIBLE ENTRY',false,621,71
'FORCIBLE ENTRY',false,1224,28
'TRUCK, BUS, MOTOR HOME',false,1432,22
'HARASSMENT BY TELEPHONE',false,734,67
'TO PROPERTY',false,413,47
'DOMESTIC BATTERY SIMPLE',true,523,53
'OVER $500',false,511,49
'DOMESTIC BATTERY SIMPLE',false,925,61
'FROM BUILDING',false,1421,22
SIMPLE,false,1132,29
'RETAIL THEFT',true,1733,16
'DOMESTIC BATTERY SIMPLE',true,434,51
'POSS: HEROIN(WHITE)',true,725,67
SIMPLE,false,2533,23
'BOARD PLANE WITH WEAPON',true,813,56
SIMPLE,false,2531,25
'$500 AND UNDER',false,2422,1
'UNLAWFUL POSS OF HANDGUN',true,713,67
SIMPLE,false,832,66
'FROM BUILDING',false,2234,75
'FROM BUILDING',false,1023,31
'$500 AND UNDER',false,634,44
'$500 AND UNDER',false,1831,8
'TO LAND',true,524,53
'TO LAND',true,614,71
'VEHICLE TITLE/REG OFFENSE',true,624,69
'UNLAWFUL ENTRY',false,2514,19
'AGGRAVATED: OTHER DANG WEAPON',false,533,54
'$500 AND UNDER',false,413,47
'DOMESTIC BATTERY SIMPLE',false,1523,25
SIMPLE,false,1114,26
'RETAIL THEFT',false,225,37
'POSS: CRACK',true,1014,29
'UNLAWFUL ENTRY',false,423,46
'TO PROPERTY',true,225,40
'DOMESTIC BATTERY SIMPLE',false,432,52
'TO VEHICLE',false,1634,15
'UNLAWFUL POSS OF HANDGUN',false,1133,27
'PAROLE VIOLATION',true,634,49
'FORCIBLE ENTRY',false,131,33
'RETAIL THEFT',false,1931,7
'DOMESTIC BATTERY SIMPLE',false,923,63
'RETAIL THEFT',true,2533,25
'TO VEHICLE',false,925,61
'OVER $500',false,431,51
'TO PROPERTY',false,1914,3
'TO PROPERTY',true,2234,75
'UNLAWFUL POSS OF HANDGUN',false,1132,26
'POSS: CRACK',true,1122,26
'$500 AND UNDER',false,1034,30
'SOLICIT NARCOTICS ON PUBLICWAY',true,1132,26
'ARMED:KNIFE/CUTTING INSTRUMENT',true,421,43
'$500 AND UNDER',false,2424,1
AUTOMOBILE,false,522,49
'TO RESIDENCE',true,2212,75
'FROM BUILDING',false,215,38
'OTHER VEHICLE OFFENSE',false,314,42
'TO VEHICLE',false,1433,24
'DOMESTIC BATTERY SIMPLE',false,1014,29
AUTOMOBILE,false,1833,8
'VIOLATE ORDER OF PROTECTION',false,222,39
'FORCIBLE ENTRY',false,712,68
'VIOLATE ORDER OF PROTECTION',true,1831,8
'TO LAND',false,814,56
'TO STATE SUP PROP',false,434,51
PURSE-SNATCHING,false,112,32
'RETAIL THEFT',true,1934,6
SIMPLE,false,2433,77
SIMPLE,false,1212,24
'TO VEHICLE',false,1034,31
'$500 AND UNDER',false,726,67
'TO LAND',false,524,53
'TO PROPERTY',false,313,42
'POSS: PCP',true,1533,25
'ATTEMPT: STRONGARM-NO WEAPON',false,915,34
'ILLEGAL USE CASH CARD',false,2232,73
'CREDIT CARD FRAUD',false,1832,8
'FROM BUILDING',false,1831,8
'TO PROPERTY',false,2223,73
'TO PROPERTY',false,634,49
'TO VEHICLE',false,1513,25
'HARASSMENT BY TELEPHONE',false,1532,25
'TO VEHICLE',false,332,43
'TO VEHICLE',false,1814,7
'POSS: CANNABIS 30GMS OR LESS',true,1522,25
'OVER $500',false,215,38
'RETAIL THEFT',false,734,67
'UNLAWFUL ENTRY',false,912,59
SIMPLE,false,624,69
'UNLAWFUL POSS OF HANDGUN',true,611,71
'TO VEHICLE',false,835,66
'FRAUD OR CONFIDENCE GAME',false,1235,31
'$500 AND UNDER',false,1622,11
'TO PROPERTY',false,212,36
'FROM BUILDING',false,1924,6
'TO PROPERTY',false,1232,28
'DOMESTIC BATTERY SIMPLE',false,2515,19
'TO LAND',true,1121,23
SIMPLE,false,321,42
'DOMESTIC BATTERY SIMPLE',false,811,64
AUTOMOBILE,false,1824,8
SIMPLE,false,314,42
'TO PROPERTY',false,414,46
'UNLAWFUL POSS OF HANDGUN',true,733,68
'OVER $500',false,815,57
'DOMESTIC BATTERY SIMPLE',true,1224,28
'$500 AND UNDER',false,1631,17
'UNLAWFUL ENTRY',false,532,53
'OVER $500',false,1623,11
AUTOMOBILE,false,321,42
'DOMESTIC BATTERY SIMPLE',false,412,45
'DOMESTIC BATTERY SIMPLE',false,832,66
'OVER $500',false,1223,28
'RETAIL THEFT',false,832,66
'OVER $500',false,112,32
'HARASSMENT BY ELECTRONIC MEANS',false,1024,30
SIMPLE,true,831,66
'FROM BUILDING',false,421,43
'FORCIBLE ENTRY',false,2011,4
'VIOLATE ORDER OF PROTECTION',false,1511,25
POCKET-PICKING,false,1834,8
'PAROLE VIOLATION',true,1223,28
'DOMESTIC BATTERY SIMPLE',true,1622,15
'OTHER VEHICLE OFFENSE',false,533,54
'DOMESTIC BATTERY SIMPLE',false,722,69
'FROM BUILDING',false,1814,7
'OVER $500',false,1931,7
'TO PROPERTY',false,214,36
'SEX RELATION IN FAMILY',false,1031,30
'TO PROPERTY',false,911,58
'THEFT OF LABOR/SERVICES',false,835,70
'FINANCIAL IDENTITY THEFT OVER $ 300',false,321,69
'FROM BUILDING',false,1013,30
SIMPLE,false,825,66
'TO PROPERTY',true,832,66
'$500 AND UNDER',false,1233,28
SIMPLE,false,734,67
'RESIST/OBSTRUCT/DISARM OFFICER',true,823,66
'$500 AND UNDER',false,2422,1
'FIRST DEGREE MURDER',false,1523,25
'FROM BUILDING',false,112,32
'OBSCENE TELEPHONE CALLS',false,2211,74
SIMPLE,false,624,44
'TO VEHICLE',false,1121,23
'UNLAWFUL POSS OF HANDGUN',true,424,46
'$500 AND UNDER',false,2221,72
'TO PROPERTY',false,2432,1
'$500 AND UNDER',true,2433,77
'FINANCIAL IDENTITY THEFT OVER $ 300',false,1421,22
'ATTEMPT - FINANCIAL IDENTITY THEFT',false,1212,24
'$500 AND UNDER',false,2524,22
'RECKLESS CONDUCT',true,225,40
'AGGRAVATED PO: OTHER DANG WEAP',true,1135,27
'TO VEHICLE',false,931,61
'TO VEHICLE',false,726,67
'DOMESTIC BATTERY SIMPLE',true,1115,26
'FINANCIAL IDENTITY THEFT OVER $ 300',false,924,61
'FROM BUILDING',false,815,56
AUTOMOBILE,false,2413,2
'DOMESTIC BATTERY SIMPLE',false,1831,8
'TO PROPERTY',false,221,38
SIMPLE,false,731,69
'AGGRAVATED: OTHER DANG WEAPON',true,1925,6
'FROM BUILDING',false,1731,16
'TO RESIDENCE',false,611,71
'RETAIL THEFT',true,431,51
'FROM BUILDING',false,1633,17
'$500 AND UNDER',false,131,33
'POSS: CRACK',true,1132,26
'$500 AND UNDER',false,211,35
'UNLAWFUL POSS OF HANDGUN',true,1113,25
'MANU/DEL:CANNABIS 10GM OR LESS',true,725,67
AUTOMOBILE,false,1634,15
'RETAIL THEFT',false,1935,7
'CRIMINAL SEXUAL ABUSE',true,2432,1
'TO VEHICLE',false,222,39
'RETAIL THEFT',false,832,66
'DOMESTIC BATTERY SIMPLE',false,831,66
'TO VEHICLE',false,512,49
'FROM BUILDING',false,1232,28
'MANU/DEL:CANNABIS OVER 10 GMS',true,733,68
'POSS: CANNABIS 30GMS OR LESS',true,1133,27
'AGGRAVATED:KNIFE/CUTTING INSTR',false,1523,25
'DOMESTIC BATTERY SIMPLE',false,825,66
'TO PROPERTY',false,824,63
SIMPLE,false,1634,15
AUTOMOBILE,false,824,63
'DOMESTIC BATTERY SIMPLE',true,421,43
SIMPLE,false,1713,14
'AGG PO HANDS NO/MIN INJURY',false,131,33
'UNLAWFUL USE HANDGUN',false,2512,19
'FROM BUILDING',false,1651,76
'CREDIT CARD FRAUD',false,215,38
'FINANCIAL IDENTITY THEFT $300 AND UNDER',false,2212,75
'OVER $500',false,1834,8
'CREDIT CARD FRAUD',false,1834,8
'FIRST DEGREE MURDER',false,2534,23
'$500 AND UNDER',false,334,43
'TO VEHICLE',false,923,63
SIMPLE,false,124,28
EAVESDROPPING,false,224,38
'$500 AND UNDER',false,1622,11
'DOMESTIC BATTERY SIMPLE',false,725,67
'UNLAWFUL POSS OF HANDGUN',true,624,69
'TO LAND',true,712,68
SIMPLE,true,1824,8
'DOMESTIC BATTERY SIMPLE',true,621,71
'AGGRAVATED: HANDGUN',false,613,71
'COUNTERFEIT CHECK',true,623,44
'DOMESTIC BATTERY SIMPLE',false,2012,4
'TELEPHONE THREAT',false,422,46
'AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST',true,1135,28
SIMPLE,false,1124,27
SIMPLE,false,123,32
AUTOMOBILE,false,132,33
'TO LAND',true,212,35
'DOMESTIC BATTERY SIMPLE',false,1021,29
'$500 AND UNDER',false,412,45
'FINANCIAL IDENTITY THEFT $300 AND UNDER',false,1431,22
'DOMESTIC BATTERY SIMPLE',false,614,71
'$500 AND UNDER',false,2422,1
'CRIMINAL SEXUAL ABUSE',false,832,66
'RECKLESS CONDUCT',true,631,44
'TO LAND',true,831,66
'AGGRAVATED: HANDGUN',false,624,44
'OVER $500',false,1424,24
'$500 AND UNDER',false,1122,23
'OVER $500',false,1624,15
'FROM BUILDING',false,1434,22
'CALL OPERATION',true,114,32
SIMPLE,false,312,42
'POSS: CANNABIS 30GMS OR LESS',true,123,32
SIMPLE,false,421,43
'ATTEMPT NON-AGGRAVATED',false,331,43
'DOMESTIC BATTERY SIMPLE',false,2524,22
SIMPLE,true,2011,2
'FROM BUILDING',false,1823,8
'TO PROPERTY',false,1832,8
'OTHER VEHICLE OFFENSE',false,735,67
'OVER $500',false,1933,6
SIMPLE,false,925,37
'$500 AND UNDER',false,922,58
AUTOMOBILE,false,2234,75
'$500 AND UNDER',false,113,32
'TO VEHICLE',false,231,40
'AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST',true,1013,29
POCKET-PICKING,false,1423,24
'TO LAND',true,1225,28
AUTOMOBILE,false,1014,29
'FINANCIAL IDENTITY THEFT OVER $ 300',false,1914,3
'PEEPING TOM',false,1933,6
SIMPLE,false,234,41
'AGGRAVATED:KNIFE/CUTTING INSTR',false,621,68
'HARASSMENT BY ELECTRONIC MEANS',false,312,42
'$500 AND UNDER',false,1533,25
'HARASSMENT BY ELECTRONIC MEANS',false,1214,24
'OVER $500',false,1713,14
'$500 AND UNDER',false,1632,17
'FORCIBLE ENTRY',false,835,70
'$500 AND UNDER',false,813,65
SIMPLE,false,424,46
'HARASSMENT BY TELEPHONE',false,1723,16
'OTHER CRIME INVOLVING PROPERTY',false,835,66
AUTOMOBILE,false,1121,23
'DOMESTIC BATTERY SIMPLE',false,212,35
AUTOMOBILE,false,731,69
'FINANCIAL IDENTITY THEFT OVER $ 300',false,633,44
'FINANCIAL IDENTITY THEFT OVER $ 300',false,412,45
AUTOMOBILE,false,813,62
AUTOMOBILE,false,1022,29
'TO VEHICLE',false,1112,23
'PAROLE VIOLATION',true,1021,29
'FROM BUILDING',false,1831,8
'OVER $500',false,1813,7
'OVER $500',false,132,33
'FINANCIAL IDENTITY THEFT $300 AND UNDER',false,2532,25
'AGGRAVATED: OTHER DANG WEAPON',false,611,71
'TO PROPERTY',false,523,53
'AGGRAVATED VEHICULAR HIJACKING',true,822,62
SIMPLE,false,1613,10
AGGRAVATED,false,225,40
AGGRAVATED,false,333,43
'VEHICLE TITLE/REG OFFENSE',true,1722,14
'TO PROPERTY',false,2022,77
'POSS: CRACK',true,1133,29
POCKET-PICKING,false,1713,14
'$500 AND UNDER',false,2424,1
'ARMED: HANDGUN',false,913,60
'$500 AND UNDER',false,1013,30
'FOUND SUSPECT NARCOTICS',true,1934,6
'DOMESTIC BATTERY SIMPLE',true,2532,25
'AGGRAVATED: HANDGUN',false,633,44
'DOMESTIC BATTERY SIMPLE',false,434,51
'DOMESTIC BATTERY SIMPLE',false,1011,29
'HARASSMENT BY ELECTRONIC MEANS',false,726,67
'SOLICIT NARCOTICS ON PUBLICWAY',true,1021,29
'PAY TV SERVICE OFFENSES',false,1522,25
'TO VEHICLE',false,1133,29
SIMPLE,false,822,62
'UNLAWFUL ENTRY',false,2522,20
